Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
644;5858;83175002152;8317152;83175002152;Kappel-Grafenhausen;Gemeinde;64;gemeinschaftsangehörig;8;5009;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
645;5859;83175003009;8317009;83175003009;Berghaupten;Gemeinde;64;gemeinschaftsangehörig;8;2404;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
646;5860;83175003034;8317034;83175003034;Gengenbach;Stadt;63;gemeinschaftsangehörig;8;10943;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
647;5861;83175003097;8317097;83175003097;Ohlsbach;Gemeinde;64;gemeinschaftsangehörig;8;3246;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
648;5862;83175004029;8317029;83175004029;Fischerbach;Gemeinde;64;gemeinschaftsangehörig;8;1767;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
649;5863;83175004040;8317040;83175004040;Haslach im Kinzigtal;Stadt;63;gemeinschaftsangehörig;8;7049;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
650;5864;83175004046;8317046;83175004046;Hofstetten;Gemeinde;64;gemeinschaftsangehörig;8;1766;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
651;5865;83175004078;8317078;83175004078;Mühlenbach;Gemeinde;64;gemeinschaftsangehörig;8;1692;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
652;5866;83175004129;8317129;83175004129;Steinach;Gemeinde;64;gemeinschaftsangehörig;8;4021;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
653;5867;83175005039;8317039;83175005039;Gutach (Schwarzwaldbahn);Gemeinde;64;gemeinschaftsangehörig;8;2258;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
654;5868;83175005041;8317041;83175005041;Hausach;Stadt;63;gemeinschaftsangehörig;8;5768;Sparkasse Kinzigtal;33;SK KINZIG;0,011025478;0,006752398;0,002078569;0,019856445;0,009365177;0,005096064;0,00012972;0,014590961;0,000986546;0,002848923;481987908,3
