Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
581;5795;83155009013;8315013;83155009013;Bötzingen;Gemeinde;64;gemeinschaftsangehörig;8;5359;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
582;5796;83155009030;8315030;83155009030;Eichstetten am Kaiserstuhl;Gemeinde;64;gemeinschaftsangehörig;8;3618;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
583;5797;83155009043;8315043;83155009043;Gottenheim;Gemeinde;64;gemeinschaftsangehörig;8;2965;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
584;5798;83155010039;8315039;83155010039;Friedenweiler;Gemeinde;64;gemeinschaftsangehörig;8;1982;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
585;5799;83155010070;8315070;83155010070;Löffingen;Stadt;63;gemeinschaftsangehörig;8;7680;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
586;5800;83155011115;8315115;83155011115;Umkirch;Gemeinde;64;gemeinschaftsangehörig;8;5731;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
587;5801;83155011132;8315132;83155011132;March;Gemeinde;64;gemeinschaftsangehörig;8;9217;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
588;5802;83155012004;8315004;83155012004;Auggen;Gemeinde;64;gemeinschaftsangehörig;8;2804;Sparkasse Markgräflerland;36;SK MARK;0,011413751;0,005254721;0,004936697;0,021605168;0,009309919;0,004937566;0,0004534;0,014700885;0,001709009;0,003967005;2591660099
589;5803;83155012007;8315007;83155012007;Badenweiler;Gemeinde;64;gemeinschaftsangehörig;8;4327;Sparkasse Markgräflerland;36;SK MARK;0,011413751;0,005254721;0,004936697;0,021605168;0,009309919;0,004937566;0,0004534;0,014700885;0,001709009;0,003967005;2591660099
590;5804;83155012022;8315022;83155012022;Buggingen;Gemeinde;64;gemeinschaftsangehörig;8;4231;Sparkasse Markgräflerland;36;SK MARK;0,011413751;0,005254721;0,004936697;0,021605168;0,009309919;0,004937566;0,0004534;0,014700885;0,001709009;0,003967005;2591660099
591;5805;83155012074;8315074;83155012074;Müllheim;Stadt;63;gemeinschaftsangehörig;8;18999;Sparkasse Markgräflerland;36;SK MARK;0,011413751;0,005254721;0,004936697;0,021605168;0,009309919;0,004937566;0,0004534;0,014700885;0,001709009;0,003967005;2591660099
592;5806;83155012111;8315111;83155012111;Sulzburg;Stadt;63;gemeinschaftsangehörig;8;2771;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
593;5807;83155013041;8315041;83155013041;Glottertal;Gemeinde;64;gemeinschaftsangehörig;8;3281;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
594;5808;83155013094;8315094;83155013094;St. Märgen;Gemeinde;64;gemeinschaftsangehörig;8;1892;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
595;5809;83155013095;8315095;83155013095;St. Peter;Gemeinde;64;gemeinschaftsangehörig;8;2604;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
596;5810;83155014028;8315028;83155014028;Ebringen;Gemeinde;64;gemeinschaftsangehörig;8;2878;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
597;5811;83155014089;8315089;83155014089;Pfaffenweiler;Gemeinde;64;gemeinschaftsangehörig;8;2602;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
598;5812;83155014098;8315098;83155014098;Schallstadt;Gemeinde;64;gemeinschaftsangehörig;8;6276;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
599;5813;83155015037;8315037;83155015037;Feldberg (Schwarzwald);Gemeinde;64;gemeinschaftsangehörig;8;1977;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
